x =

   -1.7000   -1.7000   -0.2200    2.5800    6.8500    4.3800    2.5800    1.9200    1.1000    0.4400   -0.2200

   -1.7000   -2.1900   -3.0100   -2.5200   -0.3800   -1.5300   -0.8800   -0.2200   -1.0400   -2.0300   -1.5300

    -0.3800    1.2600    4.0500    1.2600    4.0500    6.6800    5.2000    5.3700    4.3800    3.4000    3.5600

    2.4100    2.0800

y =

   -9.9300   -8.6300   -8.3700   -7.5900   -7.3300   -6.0300   -5.7700   -6.2900   -6.8100   -5.5100   -5.5100


   -6.2900   -5.5100   -4.7300   -3.9500   -4.4700   -3.6900   -3.1700   -1.8700   -2.1300   -1.6100    0.2100

    2.8100    2.8100    2.8100    3.3300    3.8500    4.3700    4.6300    5.9300    5.6700    5.4100    6.2000

    4.6300    5.6700

bodpoly =

    4.7000   -9.7000
    4.7000   -9.7000
    5.1000   -9.2000
    5.2000   -9.2000
    5.2000   -9.2000
    5.2000   -8.9000
    5.4000   -8.7000
    5.7000   -8.7000
    5.8000   -8.5000
    5.8000   -8.4000
    5.8000   -8.3000
    6.0000   -8.3000
    6.1000   -8.2000
    6.2000   -8.2000
    6.2000   -8.1000
    7.3000   -8.1000
    7.5000   -7.8000
    7.5000   -7.8000
    7.7000   -7.6000
    7.8000   -7.6000
    8.0000   -7.3000
    8.2000   -7.3000
    8.3000   -7.1000
    8.5000   -7.1000
    8.6000   -6.8000
    8.6000   -3.9000
    8.7000   -3.8000
    8.8000   -3.8000
    8.8000   -3.7000
    8.8000   -2.9000
    9.0000   -2.7000
    9.0000   -2.2000
    9.1000   -2.0000
    9.1000   -1.9000
    9.2000   -1.8000
    9.2000    2.0000
    9.3000    2.2000
    9.3000    2.3000
    9.3000    2.3000
    9.3000    5.2000
    9.5000    5.4000
    9.5000    5.8000
    9.5000    5.9000
    9.2000    5.9000
    8.8000    6.4000
    8.6000    6.4000
    8.6000    6.8000
    8.2000    7.5000
    6.7000    7.5000
    6.5000    7.8000
    6.0000    7.8000
    5.8000    8.0000
    5.7000    8.0000
    5.5000    8.3000
    3.3000    8.3000
    3.2000    8.3000
    3.2000    8.0000
    3.1000    7.8000
    3.1000    7.5000
    2.7000    7.5000
    2.4000    7.0000
    2.2000    7.0000
    2.1000    7.0000
    2.1000    6.4000
    2.1000    6.3000
    2.0000    6.3000
    1.9000    6.2000
    1.8000    6.2000
    1.7000    6.2000
    1.7000    5.9000
    1.6000    5.9000
    1.3000    5.4000
    0.8000    5.4000
    0.7000    5.3000
    0.7000    5.3000
    0.6000    5.2000
    0.4000    5.2000
    0.3000    4.9000
   -0.1000    4.9000
   -0.2000    4.7000
   -0.4000    4.7000
   -1.1000    3.6000
   -1.2000    3.6000
   -1.2000    3.6000
   -1.2000    3.3000
   -1.4000    3.3000
   -1.5000    3.1000
   -1.8000    3.1000
   -1.8000    3.1000
   -1.8000    2.6000
   -2.0000    2.6000
   -2.5000    1.8000
   -2.5000    1.5000
   -2.7000    1.5000
   -3.0000    1.0000
   -3.0000    0.8000
   -3.7000   -0.3000
   -3.8000   -0.3000
   -4.2000   -0.8000
   -4.2000   -1.1000
   -4.3000   -1.3000
   -4.3000   -3.4000
   -4.5000   -3.7000
   -4.5000   -4.5000
   -4.6000   -4.5000
   -4.6000   -4.5000
   -4.6000   -4.8000
   -4.8000   -5.1000
   -4.9000   -5.1000
   -5.2000   -5.5000
   -5.2000   -7.3000
   -5.2000   -7.3000
   -5.0000   -7.3000
   -5.0000   -7.6000
   -4.8000   -7.8000
   -4.8000   -7.8000
   -4.6000   -8.1000
   -4.3000   -8.1000
   -4.2000   -8.3000
   -4.2000   -8.4000
   -4.0000   -8.7000
   -3.7000   -8.7000
   -3.7000   -8.9000
   -3.5000   -9.2000
   -3.2000   -9.2000
   -3.2000   -9.4000
   -3.0000   -9.7000
   -2.7000   -9.7000
   -2.5000   -9.9000
   -2.2000   -9.9000
   -2.1000  -10.1000
   -2.1000  -10.1000
   -2.0000  -10.2000
   -1.8000  -10.2000
   -1.7000  -10.4000
   -1.4000  -10.4000
   -1.3000  -10.6000
   -1.3000  -10.7000
   -1.2000  -10.8000
   -0.9000  -10.8000
   -0.7000  -11.0000
   -0.1000  -11.0000
    0.1000  -11.3000
    0.4000  -11.3000
    0.6000  -11.5000
    2.7000  -11.5000
    2.7000  -11.5000
    2.7000  -11.0000
    2.9000  -11.0000
    3.1000  -10.8000
    3.1000  -10.4000
    3.7000  -10.4000
    3.9000  -10.2000
    4.4000  -10.2000
    4.7000   -9.7000
